Township,Date,Air Temp. Avg. (°C),Air Temp. Min. (°C),Air Temp. Max. (°C),Precip. (mm),Precip. Accumulated (mm),Relative Humidity Avg. (%),Modelled Snow Water Equiv. (mm),Incoming Solar Rad. Total (MJ/m2),Wind Speed 10 m Avg. (km/h)
T056R08W6,2011-01-01,-11.125,-18.31,-3.94,,,77.47,,,
T056R08W6,2011-01-02,-9.6,-14.88,-4.32,,,78.80,,,
T056R08W6,2011-01-03,-10.08,-16.91,-3.25,,,80.72,,,
T056R08W6,2011-01-04,-3.87,-9.24,1.50,,,79.46,,,
T056R08W6,2011-01-05,-1.15,-5.03,2.73,,,70.52,,,
T056R08W6,2011-01-06,-3.615,-9.50,2.27,,,63.36,,,
T056R08W6,2011-01-07,-7.275,-10.33,-4.22,,,87.63,,,
T056R08W6,2011-01-08,-12.525,-17.09,-7.96,,,83.90,,,
T056R08W6,2011-01-09,-17.785,-21.82,-13.75,,,82.15,,,
T056R08W6,2011-01-10,-22.47,-28.76,-16.18,,,78.62,,,
T056R08W6,2011-01-11,-23.995,-32.37,-15.62,,,76.98,,,
T056R08W6,2011-01-12,-22.335,-27.76,-16.91,,,78.59,,,
T056R08W6,2011-01-13,-24.39,-28.09,-20.69,,,75.18,,,
T056R08W6,2011-01-14,-27.71,-29.30,-26.12,,,73.70,,,
T056R08W6,2011-01-15,-21.99,-28.68,-15.30,,,77.19,,,
T056R08W6,2011-01-16,-18.61,-24.49,-12.73,,,80.48,,,
T056R08W6,2011-01-17,-15.885,-25.68,-6.09,,,81.24,,,
T056R08W6,2011-01-18,-11.18,-16.78,-5.58,,,82.04,,,
T056R08W6,2011-01-19,-9.21,-14.52,-3.90,,,82.03,,,
T056R08W6,2011-01-20,-5.295,-11.80,1.21,,,76.99,,,
T056R08W6,2011-01-21,-1.425,-5.25,2.40,,,80.34,,,
T056R08W6,2011-01-22,-0.44,-4.94,4.06,,,64.71,,,
T056R08W6,2011-01-23,-2.195,-7.20,2.81,,,66.29,,,
T056R08W6,2011-01-24,-1.885,-8.03,4.26,,,73.71,,,
T056R08W6,2011-01-25,-0.395,-6.15,5.36,,,72.05,,,
T056R08W6,2011-01-26,1.095,-4.27,6.46,,,76.72,,,
T056R08W6,2011-01-27,1.905,-3.23,7.04,,,66.70,,,
T056R08W6,2011-01-28,-8.83,-14.17,-3.49,,,79.34,,,
T056R08W6,2011-01-29,-19.045,-23.32,-14.77,,,77.66,,,
T056R08W6,2011-01-30,-23.35,-32.09,-14.61,,,73.24,,,
T056R08W6,2011-01-31,-23.51,-34.30,-12.72,,,72.35,,,
T056R08W6,2011-02-01,-13.61,-26.45,-0.77,,,73.62,,,
T056R08W6,2011-02-02,-1.155,-7.87,5.56,,,69.77,,,
T056R08W6,2011-02-03,0.265,-4.75,5.28,,,76.67,,,
T056R08W6,2011-02-04,1.65,-2.07,5.37,,,75.06,,,
T056R08W6,2011-02-05,-6.385,-11.93,-0.84,,,75.00,,,
T056R08W6,2011-02-06,-13.67,-17.83,-9.51,,,80.28,,,
T056R08W6,2011-02-07,-14.635,-17.88,-11.39,,,78.60,,,
T056R08W6,2011-02-08,-17.28,-27.53,-7.03,,,77.93,,,
T056R08W6,2011-02-09,-9.36,-17.66,-1.06,,,74.31,,,
T056R08W6,2011-02-10,-0.41,-3.41,2.59,,,67.27,,,
T056R08W6,2011-02-11,0.315,-4.59,5.22,,,65.34,,,
T056R08W6,2011-02-12,0.105,-3.35,3.56,,,72.99,,,
T056R08W6,2011-02-13,-1.365,-5.23,2.50,,,67.06,,,
T056R08W6,2011-02-14,-4.74,-12.50,3.02,,,71.37,,,
