Township,Date,Temp-Min,Temp-Max
T056R08W6,2011-01-01,-18.31,-3.94
T056R08W6,2011-01-02,-14.88,-4.32
T056R08W6,2011-01-03,-16.91,-3.25
T056R08W6,2011-01-04,-9.24,1.50
T056R08W6,2011-01-05,-5.03,2.73
T056R08W6,2011-01-06,-9.50,2.27
T056R08W6,2011-01-07,-10.33,-4.22
T056R08W6,2011-01-08,-17.09,-7.96
T056R08W6,2011-01-09,-21.82,-13.75
T056R08W6,2011-01-10,-28.76,-16.18
T056R08W6,2011-01-11,-32.37,-15.62
T056R08W6,2011-01-12,-27.76,-16.91
T056R08W6,2011-01-13,-28.09,-20.69
T056R08W6,2011-01-14,-29.30,-26.12
T056R08W6,2011-01-15,-28.68,-15.30
T056R08W6,2011-01-16,-24.49,-12.73
T056R08W6,2011-01-17,-25.68,-6.09
T056R08W6,2011-01-18,-16.78,-5.58
T056R08W6,2011-01-19,-14.52,-3.90
T056R08W6,2011-01-20,-11.80,1.21
T056R08W6,2011-01-21,-5.25,2.40
T056R08W6,2011-01-22,-4.94,4.06
T056R08W6,2011-01-23,-7.20,2.81
T056R08W6,2011-01-24,-8.03,4.26
T056R08W6,2011-01-25,,
T056R08W6,2011-01-26,-4.27,6.46
T056R08W6,2011-01-27,-3.23,7.04
T056R08W6,2011-01-28,-14.17,-3.49
T056R08W6,2011-01-29,-23.32,-14.77
T056R08W6,2011-01-30,-32.09,-14.61
T056R08W6,2011-01-31,-34.30,-12.72
T056R08W6,2011-02-01,-26.45,-0.77
T056R08W6,2011-02-02,-7.87,5.56
T056R08W6,2011-02-03,-4.75,5.28
T056R08W6,2011-02-04,-2.07,5.37
T056R08W6,2011-02-05,-11.93,-0.84
T056R08W6,2011-02-06,-17.83,-9.51
T056R08W6,2011-02-07,-17.88,-11.39
T056R08W6,2011-02-08,-27.53,-7.03
T056R08W6,2011-02-09,-17.66,-1.06
T056R08W6,2011-02-10,-3.41,2.59
T056R08W6,2011-02-11,-4.59,5.22
T056R08W6,2011-02-12,-3.35,3.56
T056R08W6,2011-02-13,-5.23,2.50
T056R08W6,2011-02-14,-12.50,3.02
T056R08W6,2011-02-15,-19.42,-3.08
