"Census Subdivision (Municipal) Population Estimates, July 1, 2016 to 2022, Alberta",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Census Division,Census Subdivision,Area Name,Type,2016,2017,2018,2019,2020,2021,2022
4801,4801003,Cypress County,MD,7849,7968,7937,7947,7952,8001,8088
4801,4801006,Medicine Hat,CY,64779,64767,65043,65243,65431,65396,65949
4801,4801008,Forty Mile County No. 8,MD,3660,3676,3712,3744,3731,3763,3860
4801,4801009,Foremost,VL,552,540,573,555,554,554,553
4801,4801014,Bow Island,T,2029,2066,2059,2015,2003,2005,2026
4801,4801018,Redcliff,T,5729,5814,5877,5911,5905,5879,6104
4802,4802001,Warner County No. 51 7,MD,4048,4066,4088,4107,4117,4103,4068
4802,4802002,Coutts,VL,248,241,241,237,234,231,237
4802,4802004,Milk River,T,841,820,821,818,801,812,814
4802,4802006,Warner,VL,381,375,377,366,371,373,372
4802,4802008,Raymond1 7,T,3799,3785,3829,3892,3942,4009,4136
4802,4802009,Stirling,VL,1001,1012,1047,1053,1074,1063,1112
4802,4802011,Lethbridge County3 7,MD,10613,10710,10915,10897,10989,11070,11160
4802,4802012,Lethbridge,CY,95522,96515,98162,99785,101106,101851,104254
4802,4802013,Coalhurst,T,2754,2860,2908,2986,3050,3079,3176
4802,4802014,Nobleford,T,1317,1371,1353,1462,1501,1503,1584
4802,4802016,Barons,VL,350,358,367,347,335,328,357
4802,4802018,Picture Butte,T,1860,1909,1955,2038,2132,2141,2220
4802,4802019,Coaldale3 7,T,8460,8495,8623,8893,9023,9042,9121
4802,4802021,Taber,MD,7291,7414,7483,7412,7434,7492,7504
4802,4802022,Taber,T,8662,8771,8889,8891,8864,8989,9212
4802,4802023,Barnwell,VL,975,993,1032,1079,1121,1142,1254
4802,4802029,Vauxhall,T,1253,1301,1297,1335,1357,1401,1434
4802,4802031,Newell County,MD,7718,7723,7606,7635,7612,7673,7792
4802,4802034,Brooks,CY,14890,14724,14688,14805,14891,14682,14623
4802,4802036,Duchess,VL,1108,1102,1140,1148,1138,1116,1143
4802,4802038,Rosemary,VL,406,400,410,418,416,403,428
4802,4802039,Bassano,T,1232,1204,1203,1197,1162,1184,1203
4803,4803001,Cardston County,MD,4594,4657,4658,4691,4679,4714,4686
4803,4803002,Magrath,T,2432,2491,2533,2566,2549,2596,2590
4803,4803003,Improvement District No. 4 Waterton,ID,108,110,119,109,107,120,102
4803,4803004,Cardston,T,3657,3650,3643,3542,3461,3386,3454
4803,4803006,Glenwood,VL,322,329,344,354,353,345,354
4803,4803008,Hill Spring,VL,164,181,193,195,193,194,207
4803,4803011,Pincher Creek No. 9,MD,3017,3038,3041,3064,3099,3113,3175
4803,4803014,Pincher Creek,T,3723,3734,3655,3579,3495,3375,3428
4803,4803016,Cowley,VL,214,221,223,213,200,219,220
4803,4803018,Willow Creek No. 261 5 7,MD,5292,5367,5415,5420,5417,5933,5990
4803,4803019,Fort Macleod,T,3036,3016,3014,3001,3035,3021,3111
4803,4803021,Granum5 7,T,414,406,420,438,441,--,--
4803,4803022,Claresholm1 5 7,T,3841,3772,3743,3740,3745,3746,3847
4803,4803024,Stavely,T,552,552,527,518,529,535,532
4803,4803026,Nanton,T,2222,2152,2158,2199,2173,2191,2221
4803,4803801,Piikani 147,IRI,1592,1598,1599,1603,1625,1620,1609
4803,4803802,Blood 148,IRI,4711,4748,4743,4759,4771,4709,4669
4803,4803803,Blood 148A,IRI,0,0,0,0,0,0,0
4803,4803805,"Peigan Timber Limit ""B"" ",IRI,0,0,0,0,0,0,0
4804,4804001,Acadia No. 34,MD,504,490,509,503,506,509,494
4804,4804004,Special Area No. 2,SA,1927,1943,1947,1932,1874,1851,1866
4804,4804006,Empress,VL,138,136,140,140,136,132,136
4804,4804011,Hanna,T,2624,2619,2574,2558,2587,2578,2658
4804,4804012,Special Area No. 3 5 7,SA,1061,1062,1058,1017,1004,1087,1061
4804,4804014,Oyen,T,1017,972,964,951,953,949,904
4804,4804016,Cereal5 7 ,VL,113,120,118,119,108,--,--
4804,4804019,Youngstown,VL,156,156,155,152,156,149,150
4804,4804020,Special Area No. 4,SA,1259,1278,1279,1257,1243,1238,1241
4804,4804021,Veteran,VL,211,203,219,214,203,200,206
4804,4804022,Consort,VL,739,743,723,706,718,704,669
4805,4805001,Vulcan County,MD,4086,4055,4064,4095,4086,4101,4085
4805,4805002,Carmangay,VL,245,272,288,284,286,274,281
4805,4805004,Champion,VL,322,333,326,337,344,346,366
4805,4805006,Vulcan,T,1950,1931,1933,1901,1876,1900,1921
4805,4805008,Lomond,VL,169,196,197,208,221,210,223
4805,4805009,Milo,VL,92,85,93,101,103,102,99
4805,4805011,Arrowwood,VL,212,217,213,186,172,163,189
4805,4805012,Wheatland County,MD,8999,9086,9185,9246,9278,9317,9536
4805,4805018,Strathmore,T,14123,14321,14478,14591,14727,14853,15189
4805,4805019,Hussar,VL,195,187,188,187,181,181,196
4805,4805021,Standard,VL,361,384,399,398,399,377,380
4805,4805022,Rockyford,VL,324,327,335,330,322,320,316
4805,4805026,Drumheller,T,8166,8099,8050,8017,8003,7969,7968
4805,4805031,Starland County,MD,2112,2105,2084,2077,2060,2073,2032
4805,4805034,Delia,VL,221,223,218,232,234,232,247
4805,4805036,Munson,VL,198,206,209,204,193,199,205
4805,4805038,Morrin,VL,246,240,229,231,237,237,232
4805,4805041,Kneehill County,MD,5130,5137,5105,5092,5062,5069,5035
4805,4805042,Carbon,VL,463,437,427,430,441,441,444
4805,4805044,Acme,VL,668,661,682,711,707,714,761
4805,4805046,Linden,VL,840,828,889,862,832,800,794
4805,4805048,Three Hills,T,3275,3249,3217,3209,3225,3241,3223
4805,4805049,Trochu,T,1072,1018,1006,1003,985,986,997
4805,4805802,Siksika 146,IRI,3578,3572,3563,3596,3590,3558,3559
